accessibility_grade,genre_group,venue_type,is_weekend,duration_days,organizer_type,organizer,predicted_accessibility_grade,proba_A,proba_B,proba_C,proba_D,proba_E
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
D,클래식,대형,0,1,대관,(재)서울시립교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,예인예술기획,A,0.810682193548414,0.17961614128261608,0.0030168881016511104,0.0034929455273462378,0.0031918315399725766
A,클래식,중형,1,1,대관,앙상블 소아베,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
C,클래식,대형,0,1,대관,(주)서울신문사,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
D,클래식,대형,0,1,대관,콜레기움 보칼레 서울,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,(주)마스트미디어,C,0.016048463128691057,0.1585756923411042,0.30435848113068636,0.238789110994166,0.2822282524053524
C,클래식,대형,1,1,대관,(주)빈체로,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,1,1,대관,지클레프,A,0.8288776284929862,0.15561340494716894,0.00779137927922365,0.0031092215617561725,0.004608365718865079
D,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,중형,1,1,대관,위드클래식,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
B,클래식,대형,1,1,대관,(주)마스트미디어,C,0.016048463128691057,0.1585756923411042,0.30435848113068636,0.238789110994166,0.2822282524053524
C,클래식,대형,0,1,대관,재단법인 강남문화재단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,음악교육신문사,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
D,클래식,대형,0,1,대관,(재)국립심포니오케스트라,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,위드클래식,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
A,클래식,소극장,0,1,대관,위드클래식,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
D,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
C,클래식,대형,0,1,대관,(재)서울시립교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,(재)KBS 교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,0,1,대관,서울예술기획(주),C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
A,클래식,중형,1,1,대관,레인보우브릿지,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
A,클래식,중형,0,1,대관,(주)더존테크윌,A,0.7481177672407545,0.18130033045344116,0.05521301650265837,0.007718172019370066,0.007650713783776013
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
D,연극,소극장,0,40,기획,예술의전당,E,0.016700042429649103,0.010340869220646098,0.03326304919611817,0.23421862383708994,0.7054774153164967
E,발레,대형,0,5,대관,(재)국립발레단,E,0.0015031155406366415,0.007397959765639658,0.05098555439695007,0.21940148973600412,0.7207118805607695
E,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
D,기타(복합),대형,1,16,대관,서울예술단,E,0.001163679330502109,0.01159717482805932,0.01640420972817892,0.2654868684682506,0.705348067645009
A,클래식,중형,1,1,대관,CLASSICO,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
C,클래식,대형,1,1,대관,(재)KBS 교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,0,1,대관,라보라 예술기획,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
E,오페라,대형,0,4,대관,국립오페라단,E,0.002585058103879203,0.012902572416494828,0.11028392266627603,0.3907160752913002,0.4835123715220497
B,클래식,대형,1,1,대관,(재)KBS 교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,1,1,대관,제나클래식,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
A,클래식,중형,0,1,대관,조인클래식,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
C,클래식,대형,1,1,대관,주식회사 파이플랜즈,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,1,1,대관,조인클래식,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
C,클래식,대형,1,1,대관,영음예술기획,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
E,연극,대형,0,24,기획,예술의전당,E,0.0012386838440512282,0.011762979718215027,0.03855429097962672,0.30110072186640285,0.6473433235917043
C,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
E,클래식,대형,0,1,대관,두남재엔터테인먼트 주식회사,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
A,클래식,중형,0,1,대관,이든예술기획,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
C,클래식,대형,0,1,대관,(재)서울시립교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,뮤지컬,대형,0,3,대관,(사)글로리아오페라단,E,0.0029483764513583924,0.013927104849102449,0.03555626426908713,0.1796399877101671,0.7679282667202848
A,클래식,대형,0,1,대관,주식회사 춘추커뮤니케이션즈,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
E,오페라,대형,0,3,대관,(사)라 벨라 오페라단,E,0.007735027477824112,0.015674355996521484,0.05068949154232548,0.27218610457392634,0.6537150204094025
B,클래식,대형,1,1,대관,주식회사 토마토클래식,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,0,1,대관,현대문화,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
A,클래식,소극장,0,1,대관,음악교육신문사,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
C,뮤지컬,소극장,0,3,대관,오페라팩토리,C,0.050139379393889266,0.017690712140973505,0.6777972690865566,0.00993329452107166,0.2444393448575091
A,클래식,중형,1,1,대관,지클레프,A,0.8288776284929862,0.15561340494716894,0.00779137927922365,0.0031092215617561725,0.004608365718865079
D,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
A,클래식,소극장,0,1,대관,마음소리발전소,A,0.7696037129625518,0.18760477968847974,0.02844289463416031,0.007139753076770766,0.007208859638037305
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
E,뮤지컬,대형,0,3,대관,(재)한국문화재단,E,0.0029483764513583924,0.013927104849102449,0.03555626426908713,0.1796399877101671,0.7679282667202848
D,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
D,발레,대형,0,2,대관,대한민국발레축제추진단,D,0.0064852860402015685,0.14083227873584156,0.07381568209264104,0.4364440424933017,0.34242271063801416
A,클래식,중형,1,1,대관,임홍재,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
A,클래식,중형,0,1,대관,(주) 툴뮤직,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
D,오페라,대형,0,4,대관,국립오페라단,E,0.002585058103879203,0.012902572416494828,0.11028392266627603,0.3907160752913002,0.4835123715220497
A,클래식,소극장,0,1,대관,지클레프,A,0.699569792146067,0.2850345441397104,0.004787528106516931,0.0055429881133312936,0.005065147494374356
A,클래식,소극장,1,1,대관,가온클래식,B,0.4265778860092618,0.5591402877068399,0.005260276266657633,0.003596460969544141,0.005425089047696665
D,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
D,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,중형,0,1,대관,더블유씨엔코리아주식회사,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
C,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,대형,1,1,대관,(주)빈체로,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
B,클래식,대형,0,1,대관,크레디아뮤직앤아티스트,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,조인클래식,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
B,클래식,대형,0,1,대관,크레디아뮤직앤아티스트,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
C,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,(주)빈체로,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,1,1,대관,온스테이지,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
C,오페라,소극장,1,9,대관,(주)리음아트앤컴퍼니,C,0.019121856748349417,0.009578955742779931,0.7632493847610694,0.0036710416853426033,0.20437876106245859
D,뮤지컬,대형,0,54,대관,(주)인사이트엔터테인먼트,E,0.003596028112363207,0.00748368746613722,0.03572277247068075,0.16444494212156938,0.7887525698292495
E,기타,소극장,1,16,기획,예술의전당,E,0.01274672610760395,0.011866848986581656,0.01337647485133916,0.10305164129309943,0.8589583087613758
D,기타(복합),소극장,0,10,기획,예술의전당,E,0.013727760005778635,0.0085080182131978,0.02134843079943878,0.18044070924795969,0.7759750817336251
E,오페라,대형,0,6,기획,예술의전당,E,0.000707791661759887,0.006822113899673204,0.027521570629104042,0.08550651999158061,0.8794420038178823
A,클래식,소극장,0,1,대관,임혜림,A,0.7696037129625518,0.18760477968847974,0.02844289463416031,0.007139753076770766,0.007208859638037305
C,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
B,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
A,클래식,소극장,0,1,대관,조인클래식,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
D,클래식,대형,0,1,대관,(재)국립합창단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,0,1,대관,(재)KBS 교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
